size,avg,std
1,1,0
2,1.524,0.499673567
3,1.648,0.477832946
4,1.984,0.717118023
5,2.217,0.748646426
6,2.5,0.970021103
7,2.723,1.036023332
8,2.676,0.82200955
9,2.737,0.923408731
10,3.041,1.112005196
11,3.126,1.195639391
12,3.17,1.110104649
13,3.305,1.117686997
14,3.525,1.299639975
15,3.698,1.363324853
16,3.697,1.311072046
17,3.813,1.368906463
18,3.66,1.149661568
19,3.721,1.274670069
20,3.788,1.184254389
21,3.935,1.238672398
22,3.961,1.351778941
23,4.238,1.489824008
24,4.161,1.487040783
25,4.326,1.527107087
26,4.113,1.28447689
27,4.298,1.40184206
28,4.268,1.369690495
29,4.448,1.400448948
30,4.536,1.532008829
31,4.671,1.649691026
32,4.62,1.643259048
33,4.836,1.697641301
34,4.691,1.522444362
35,4.7,1.629311098
36,4.793,1.587031717
37,4.849,1.620130805
38,4.604,1.356843773
39,4.73,1.386009026
40,4.763,1.480210128
41,4.777,1.541313286
42,4.71,1.381958686
43,4.879,1.467143998
44,4.897,1.372689067
45,4.934,1.497292852
46,5.041,1.58613834
47,5.072,1.671409468
48,5.105,1.639714507
49,5.195,1.709941197
50,5.184,1.597716088
51,5.327,1.723090259
52,5.361,1.660553051
53,5.355,1.716951637
54,5.091,1.533972644
55,5.211,1.568100105
56,5.145,1.567939231
57,5.365,1.556340964
58,5.289,1.480429218
59,5.332,1.642703404
60,5.419,1.592474482
61,5.396,1.622287217
62,5.421,1.688374843
63,5.47,1.819453327
64,5.598,1.809328513
65,5.664,1.868313302
66,5.617,1.800431213
67,5.749,1.734072088
68,5.772,1.814747726
69,5.797,1.821292977
70,5.647,1.739947821
71,5.707,1.815060728
72,5.766,1.772677745
73,5.829,1.850725313
74,5.871,1.708589558
75,5.932,1.751697589
76,5.874,1.775746963
77,5.909,1.848820472
78,5.583,1.584178216
79,5.574,1.593443775
80,5.551,1.609966146
81,5.739,1.69934304
82,5.742,1.596240578
83,5.702,1.65467034
84,5.793,1.641598564
85,5.866,1.726564515
86,5.761,1.519271927
87,5.825,1.53516505
88,5.79,1.573014423
89,5.882,1.717855357
90,5.786,1.566095992
91,5.972,1.63581536
92,5.828,1.644116516
93,5.909,1.602275347
94,6.003,1.735512317
95,6.144,1.903388265
96,6.105,1.836122639
97,6.13,1.862946744
98,6.056,1.80835122
99,6.292,1.825943611
100,6.24,1.844940054
101,6.321,1.993974658
102,6.137,1.769565586
103,6.11,1.795305858
104,6.211,1.922023198
105,6.303,1.899157128
106,6.194,1.80876633
107,6.394,1.841237126
108,6.292,1.777609602
109,6.443,1.866074284
110,6.115,1.579959263
111,6.239,1.657898558
112,6.202,1.717598948
113,6.244,1.787080764
114,6.203,1.777343509
115,6.275,1.691814776
116,6.333,1.694397233
117,6.378,1.792855357
118,6.223,1.582964553
119,6.329,1.616592828
120,6.337,1.759126353
121,6.412,1.762771501
122,6.35,1.678784774
123,6.4,1.696135866
124,6.366,1.769512694
125,6.429,1.837480703
126,6.474,1.815659831
127,6.604,1.84677952
128,6.54,1.894726891
129,6.668,1.98335819
130,6.608,1.861666405
131,6.7,1.974816422
132,6.575,1.977950274
133,6.737,1.991933432
134,6.647,1.864367686
135,6.712,1.920610514
136,6.697,2.004297435
137,6.723,2.047061665
138,6.799,1.990618387
139,6.847,1.956378905
140,6.749,2.004499194
141,6.822,2.148704943
142,6.609,1.812568455
143,6.691,1.8151622
144,6.68,1.768255278
145,6.768,1.882477017
146,6.831,1.864380571
147,6.831,1.85630948
148,6.685,1.85397201
149,6.82,2.064912556
150,6.81,1.870668169
151,6.899,1.92314781
152,6.86,1.85522016
153,6.828,1.919922421
154,6.873,1.805028844
155,6.985,1.946937484
156,6.955,1.845638475
157,7.048,1.920777287
158,6.534,1.648502824
159,6.726,1.655192939
160,6.635,1.783523467
161,6.632,1.798836238
162,6.631,1.828163335
163,6.685,1.729961782
164,6.699,1.77864065
165,6.728,1.707903081
166,6.707,1.67150978
167,6.775,1.75996377
168,6.736,1.824179715
169,6.729,1.721779174
170,6.904,1.670201657
171,6.785,1.894297591
172,6.945,1.726544513
173,6.768,1.855159728
174,6.712,1.646136618
175,6.818,1.689891041
176,6.735,1.761214603
177,6.883,1.719379908
178,6.888,1.609983866
179,6.834,1.746279901
180,6.927,1.676449069
181,6.851,1.762925667
182,6.856,1.608680158
183,6.806,1.694471964
184,6.765,1.740345886
185,6.987,1.710484363
186,6.842,1.672074111
187,6.827,1.68817088
188,6.91,1.760397398
189,6.954,1.770598492
190,7.054,1.91121342
191,6.968,1.820519236
192,7.034,1.851018711
193,7.086,1.912135001
194,7.015,1.869296464
195,7.103,1.963223178
196,7.255,2.051873579
197,7.189,2.04681911
198,7.126,1.875537694
199,7.144,1.883297855
200,7.099,1.902845191
201,7.148,1.952410794
202,7.16,1.926164611
203,7.23,2.035987536
204,7.316,1.97333171
205,7.273,2.064638887
206,7.174,1.799155624
207,7.118,1.802033108
208,7.195,1.931503483
209,7.272,1.9661846
210,7.225,1.984518408
211,7.311,1.966760572
212,7.27,1.883785723
213,7.368,1.974455488
214,7.271,2.001890748
215,7.234,1.894421503
216,7.436,1.941564749
217,7.226,2.025098769
218,7.269,1.945873949
219,7.367,1.969820091
220,7.274,2.002731868
221,7.442,2.04274541
222,7.154,1.692675146
223,7.071,1.697893354
224,7.153,1.790753416
225,7.237,1.837445838
226,7.174,1.781262725
227,7.141,1.774335726
228,7.186,1.851710785
229,7.369,1.78101404
230,7.282,1.79769511
231,7.367,1.846000736
232,7.234,1.815637778
233,7.29,1.903555495
234,7.286,1.793159061
235,7.32,1.808001346
236,7.333,1.749620579
237,7.429,1.978604021
238,7.279,1.616716664
239,7.349,1.635198114
240,7.267,1.673472889
241,7.325,1.80793906
242,7.31,1.785241465
243,7.242,1.845763485
244,7.415,1.731407743
245,7.352,1.819727289
246,7.328,1.794892096
247,7.425,1.788175767
248,7.325,1.856022581
249,7.346,1.830747289
250,7.45,1.78849062
251,7.505,1.762123741
252,7.415,1.85747819
253,7.418,1.908643214
254,7.412,1.891516279
255,7.621,1.996332724
256,7.486,1.963583372
257,7.6,1.998497934
258,7.575,1.922516858
259,7.617,2.031856156
260,7.569,2.108004431
261,7.678,1.983494454
262,7.544,2.060171912
263,7.684,2.019956491
264,7.586,2.005149527
265,7.665,2.036890749
266,7.743,2.071531376
267,7.703,2.147883704
268,7.75,2.021778323
269,7.804,2.080363409
